yerler	enlem	boylam	yükseklik
Nil Otel	37.034350	37.222543	856 m
Met Gold Hotel	37.034819	37.225242	846 m
Gaziantep Yunus Otel	37.034155	37.224331	849 m
Tuðcan Otel	37.034451	37.222453	855 m
Kaymak Otel	37.032095	37.222046	864 m
Hotel Bal Palas	37.033197	37.230312	841 m
Asude Konak	37.035123	37.230536	849 m
Dayý Ahmet Aða Konaðý	37.035272	37.225009	844 m
Büyük Murat Otel	37.034831	37.225056	846 m
Hotel Gazi	37.031230	37.221988	883 m
Gaziantep Anýt Otel	37.034338	37.222540	857 m
Ravanda Hotel	37.032661	37.224950	848 m
Hotel Mercan	37.032941	37.220717	869 m
Zeynep Haným Konaðý	37.034249	37.224050	857 m
Tudyalý Konak	37.032642	37.222671	858 m
Kaleevi Butik Hotel	37.040120	37.225484	834 m
Zingaro Otel	37.032092	37.222441	863 m
Kargül Hotel	37.032587	37.222290	860 m
Doða Hotel	37.034353	37.222107	855 m
Jaleriz Hotel Gaziantep	37.033963	37.220609	852 m
Gap Otel	37.034681	37.224109	851 m
Hotel Burak	37.033114	37.224827	847 m
Anadolu Evleri	37.034870	37.230769	849 m
Kaleli Hotel	37.033564	37.224803	847 m
27 Otel Tuna	37.034207	37.224791	844 m
Belkýs Han	37.034331	37.224258	852 m
Uðurlu Thermal Resort Tatil Köyü	37.010818	37.121382	961 m
Gaziantep Üniv. Turizm Uygulama Oteli	37.013231	37.173225	952 m
